model_name,Clean accuracy,attack type,epsilon,adversarial accuracy,relative accuracy,ASR
LSTM,91.81,FGSM,0.005,91.63,99.8,0.2
LSTM,91.81,FGSM,0.01,91.5,99.66,0.34
LSTM,91.81,FGSM,0.02,91.31,99.45,0.55
LSTM,91.81,FGSM,0.05,90.62,98.7,1.3
LSTM,91.81,BIM,0.005,91.63,99.8,0.2
LSTM,91.81,BIM,0.01,91.5,99.66,0.34
LSTM,91.81,BIM,0.02,91.31,99.45,0.55
LSTM,91.81,BIM,0.05,90.38,98.44,1.56
LSTM,91.81,PGD,0.005,91.63,99.8,0.2
LSTM,91.81,PGD,0.01,91.5,99.66,0.34
LSTM,91.81,PGD,0.02,91.37,99.52,0.48
LSTM,91.81,PGD,0.05,90.38,98.44,1.56
LSTM,91.81,DFT-Random,0.005,91.81,100.0,0.0
LSTM,91.81,DFT-Random,0.01,91.81,100.0,0.0
LSTM,91.81,DFT-Random,0.02,91.81,100.0,0.0
LSTM,91.81,DFT-Random,0.05,91.81,100.0,0.0
